variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
sleep_h7g,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;sleep_h7g  Sitting still after having lunch (without alcohol);(same alternatives as above);;,D,1 : 43348 ; 2 : 16738 ; 3 : 6569 ; 4 : 1421 ; missing values : 100254,1 : 12912 ; 2 : 5374 ; 3 : 2215 ; 4 : 450 ; missing values : 48039,N
sleep_h7h,How big is the risk that you drift off or fall asleep in the following situations; in contrast to just feeling tired?;This applies to your usual way of living lately. Even if you have not done all this recently; try to indicate how it would have affected you.;sleep_h7h  In a car which has stopped for a few minutes in the traffic.;(same alternatives as above),D,1 : 62360 ; 2 : 4820 ; 3 : 779 ; 4 : 172 ; missing values : 100199,1 : 19121 ; 2 : 1585 ; 3 : 239 ; 4 : 37 ; missing values : 48008,N
sleep_h8a,Do you snore when you sleep?;1 = Yes; always; 2 = Yes; almost always; 3 = Yes; sometimes;4 = No; almost never; 5 = No; never; 6 = Do not know,D,1 : 3708 ; 2 : 8300 ; 3 : 29524 ; 4 : 14580 ; 5 : 7296 ; 6 : 5165 ; missing values : 99757,1 : 1147 ; 2 : 2653 ; 3 : 10037 ; 4 : 4167 ; 5 : 1637 ; 6 : 1435 ; missing values : 47914,N
sleep_h8b,Have your husband/wife/partner noticed that you have breath-holds when you sleep?;1 = Yes; always; 2 = Yes; almost always;3 = Yes; sometimes; 4 = No; almost never;5 = No; never; 6 = Do not know,D,1 : 992 ; 2 : 1035 ; 3 : 6613 ; 4 : 2747 ; 5 : 36545 ; 6 : 18937 ; missing values : 101461,1 : 311 ; 2 : 312 ; 3 : 2283 ; 4 : 917 ; 5 : 10878 ; 6 : 5885 ; missing values : 48404,N
i1,Are you a teetotaler?;1 = Yes;2 = No,D,1 : 12438 ; 2 : 79251 ; missing values : 76641,1 : 4779 ; 2 : 42637 ; missing values : 21574,N
i2,Have you ever felt that you ought to drink less alcohol?;1 = Yes;2 = No,D,1 : 20335 ; 2 : 123476 ; missing values : 24519,1 : 7820 ; 2 : 55229 ; missing values : 5941,N
i3,Have other people annoyed you by criticizing your alcohol consumption?;1 = Yes;2 = No,D,1 : 3637 ; 2 : 140993 ; missing values : 23700,1 : 1436 ; 2 : 61731 ; missing values : 5823,N
i4,Have you ever felt uneasy or guilty because of your way of drinking?;1 = Yes;2 = No,D,1 : 8658 ; 2 : 69655 ; missing values : 90017,1 : 4715 ; 2 : 37930 ; missing values : 26345,N
i5,Have you ever drunk alcohol first thing in the morning to calm down or cure a hangover?;1 = Yes;2 = No,D,1 : 2148 ; 2 : 76355 ; missing values : 89827,1 : 977 ; 2 : 41724 ; missing values : 26289,N
j1,How often do you drink alcohol?;1 = Never; 2 = 1 time/month or more seldom;3 = 2-4 times/month; 4 = 2-3 times/week;5 = 4 times/week or more,D,1 : 6904 ; 2 : 19586 ; 3 : 32804 ; 4 : 9034 ; 5 : 788 ; missing values : 99214,1 : 2010 ; 2 : 5836 ; 3 : 10323 ; 4 : 2879 ; 5 : 223 ; missing values : 47719,N
j2,How many glasses do you usually drink on a day when you drink alcohol?;One glass: 50 cl medium-strong beer; 33 cl beer with alcohol content exceeding 3;5% by volume; 1 glass red or white wine; 1 small glass fortified wine; 4 cl liquor; e.g. whisky;1 = 0-2 glasses; 2 = 3-4 glasses; 3 = 5-6 glasses;4 = 7-9 glasses; 5 = 10 glasses or more,D,1 : 35484 ; 2 : 22548 ; 3 : 6040 ; 4 : 1178 ; 5 : 255 ; missing values : 102825,1 : 11241 ; 2 : 7144 ; 3 : 1545 ; 4 : 243 ; 5 : 27 ; missing values : 48790,N
j3,How often do you drink six or more such glasses at the same occasion?;1 = Never; 2 = More seldom than once a month;3 = Every month; 4 = Every week; 5 = Daily or almost daily,D,1 : 35455 ; 2 : 24617 ; 3 : 5386 ; 4 : 1369 ; 5 : 39 ; missing values : 101464,1 : 12127 ; 2 : 6664 ; 3 : 1457 ; 4 : 364 ; 5 : 6 ; missing values : 48372,N
j4,How often during the last year have you not been able to stop drinking after you started to drink?;1 = Never; 2 = More seldom than once a month;3 = Every month; 4 = Every week; 5 = Daily or almost daily,D,1 : 64208 ; 2 : 2062 ; 3 : 233 ; 4 : 73 ; 5 : 47 ; missing values : 101707,1 : 19927 ; 2 : 526 ; 3 : 59 ; 4 : 21 ; 5 : 22 ; missing values : 48435,N
j5,How often during the last year have you not done something you should have done because of your drinking?;1 = Never; 2 = More seldom than once a month;3 = Every month; 4 = Every week; 5 = Daily or almost daily,D,1 : 61018 ; 2 : 5283 ; 3 : 296 ; 4 : 59 ; 5 : 18 ; missing values : 101656,1 : 18932 ; 2 : 1551 ; 3 : 84 ; 4 : 13 ; 5 : 2 ; missing values : 48408,N
j6,How often during the last year have you needed a drink in the morning to recover after drinking the day before?;1 = Never; 2 = More seldom than once a month;3 = Every month; 4 = Every week; 5 = Daily or almost daily,D,1 : 66231 ; 2 : 460 ; 3 : 58 ; 4 : 26 ; 5 : 16 ; missing values : 101539,1 : 20470 ; 2 : 131 ; 3 : 12 ; 4 : 2 ; 5 : 2 ; missing values : 48373,N
j7,How often during the last year have you felt guilt or remorse because of your drinking?;1 = Never; 2 = More seldom than once a month;3 = Every month; 4 = Every week; 5 = Daily or almost daily,D,1 : 59835 ; 2 : 6228 ; 3 : 485 ; 4 : 123 ; 5 : 59 ; missing values : 101600,1 : 18637 ; 2 : 1798 ; 3 : 108 ; 4 : 32 ; 5 : 14 ; missing values : 48401,N
j8,How often during the last year did you drink so much that you the next day not was able to remember what you said or did the day before?;1 = Never; 2 = More seldom than once a month;3 = Every month; 4 = Every week; 5 = Daily or almost daily,D,1 : 61554 ; 2 : 5000 ; 3 : 155 ; 4 : 26 ; 5 : 9 ; missing values : 101586,1 : 19345 ; 2 : 1219 ; 3 : 35 ; 4 : 2 ; 5 : 2 ; missing values : 48387,N
j9,Have you or anyone you know been hurt physically because of your drinking?;1= No;2 = Yes; but not during the last year;3 = Yes; during the last year,D,1 : 65365 ; 2 : 1411 ; 3 : 156 ; missing values : 101398,1 : 20317 ; 2 : 287 ; 3 : 33 ; missing values : 48353,N
j10,Has a relative; a friend; a doctor (or other medical personnel) been worried about your drinking or suggested that you should drink less?;1= No;2 = Yes; but not during the last year;3 = Yes; during the last year,D,1 : 64378 ; 2 : 1638 ; 3 : 851 ; missing values : 101463,1 : 20027 ; 2 : 385 ; 3 : 213 ; missing values : 48365,N
sm_status,Smoking status:;1 = Smoker; 2 = Former smoker;3 = Non-smoker; 4 = Occasional smoker;5 = Former occasional smoker,D,1 : 26119 ; 2 : 34858 ; 3 : 83069 ; 4 : 5590 ; 5 : 15726 ; missing values : 2968,1 : 10021 ; 2 : 15122 ; 3 : 33850 ; 4 : 2410 ; 5 : 6782 ; missing values : 805,N
sm_cig_groups,Number of cigarettes smoked per day:;1 = 1-4; 2 = 5-14;3 = 15-24; 4 = >25,D,1 : 5253 ; 2 : 15897 ; 3 : 7431 ; 4 : 776 ; missing values : 138973,1 : 2325 ; 2 : 7031 ; 3 : 3163 ; 4 : 245 ; missing values : 56226,N
sm_num_cig,Number of cigarettes smoked per day,C,mean : 11.97 ; min : 0.5 ; max : 50 ; sd : 6.6; missing values : 164583,mean : 11.86 , min : 0.5 , max : 50 , sd : 6.33, missing values : 68263,N
sm_num_cigar,Number of cigars smoked per day (in some questionnaires cigars per week; in these cases the number has been divided by 7),C,mean : 8.05 ; min : 0.14 ; max : 40 ; sd : 7.16; missing values : 168126,mean : 11.44 , min : 1 , max : 25 , sd : 6.63, missing values : 68966,N
sm_gr_tobacco,Grams of tobacco smoked per week,C,mean : 56 ; min : 5 ; max : 525 ; sd : 57.4; missing values : 168001,mean : 55.86 , min : 12.5 , max : 200 , sd : 39.46, missing values : 68943,N
sm_how_often,How often do you smoke? (Question answered by participants who answered “Yes; I smoke occasionally; not daily”);1 = Less than 1 day/month; 2 = 1-3 days/month;3 = Usually 1 day/week; 4 = Usually 2-4 days/week;5 = Almost every day,D,1 : 570 ; 2 : 375 ; 3 : 213 ; 4 : 266 ; 5 : 703 ; 9 : 2 ; missing values : 166201,1 : 65 ; 2 : 66 ; 3 : 36 ; 4 : 45 ; 5 : 115 ; missing values : 68663,N
sm_start,Age when the participant started smoking,C,mean : 17.59 ; min : 1 ; max : 59 ; sd : 4.62; missing values : 104959,mean : 17.32 , min : 5 , max : 59 , sd : 4.27, missing values : 42605,N
sm_stop,Age when the participant stopped smoking,C,mean : 34.13 ; min : 1 ; max : 66 ; sd : 10.7; missing values : 118016,mean : 33.26 , min : 7 , max : 66 , sd : 10.22, missing values : 46887,N
sm_duration,Years smoking calculated from sm_start and sm_stop. For those who say they smoke and has not given a value for sm_stop; sm_duration is given up until date of questionnaire. Note that the information in sm_duration might be misleading for smokers who have stopped smoking at some point (and then started again).,C,mean : 22.89 ; min : 0 ; max : 54 ; sd : 11.9; missing values : 105810,mean : 21.71 , min : 0 , max : 52 , sd : 11.34, missing values : 42779,N
sm_whystop_1,Stopped smoking for health reasons; on own initiative;1 = Yes,D,1 : 1918 ; missing values : 166412,1 : 440 ; missing values : 68550,N
sm_whystop_2,Stopped smoking after advice from physician/health personnel;1 = Yes,D,1 : 109 ; missing values : 168221,1 : 23 ; missing values : 68967,N
sm_whystop_3,Stopped smoking after receiving other information;1 = Yes,D,1 : 500 ; missing values : 167830,1 : 136 ; missing values : 68854,N
sm_whystop_4,Stopped smoking after pressure from friends/family members;1 = Yes,D,1 : 537 ; missing values : 167793,1 : 151 ; missing values : 68839,N
sm_whystop_5,Stopped smoking for other reasons;1 = Yes,D,1 : 1436 ; missing values : 166894,1 : 389 ; missing values : 68601,N
sn_status,Snuffer status;1 = Using snuff;2 = Former snuff user;3 = Not using snuff,D,1 : 27036 ; 2 : 18128 ; 3 : 113508 ; missing values : 9658,1 : 10790 ; 2 : 7187 ; 3 : 48492 ; missing values : 2521,N
sn_quantity,Snuff - number of boxes per week;1 = Less than 2; 2 = 2 to 4;3 =  More than 4 but less than 7; 4 = 7 or more,D,1 : 8830 ; 2 : 10880 ; 3 : 5634 ; 4 : 1692 ; missing values : 141294,1 : 3632 ; 2 : 4505 ; 3 : 2087 ; 4 : 566 ; missing values : 58200,N
sn_time,Years using snuff,C,mean : 16.35 ; min : 0 ; max : 52 ; sd : 11.05; missing values : 127344,mean : 16.33 , min : 0 , max : 50 , sd : 11.09, missing values : 52416,N
sn_stopsmoke_a,Did you start using snuff when you stopped smoking?;1 = Yes;2 = No;3 = I am smoking and using snuff,D,1 : 12908 ; 2 : 28872 ; 3 : 2893 ; missing values : 123657,1 : 5783 ; 2 : 11637 ; 3 : 1171 ; missing values : 50399,N
sn_stopsmoke_b,Did you start using snuff when you stopped smoking?;1 = Yes;2 = No,D,1 : 528 ; 2 : 1110 ; missing values : 166692,missing values : 68990,N
sn_nicotine_replace,Did you use nicotine replacement therapy in order to stop using snuff?;1 = Yes;2 = No,D,1 : 1252 ; 2 : 14552 ; missing values : 152526,1 : 288 ; 2 : 3778 ; missing values : 64924,N
sm_nicotine_replace,Did you use nicotine replacement therapy in order to stop smoking?;1 = Yes;2 = No,D,1 : 2360 ; 2 : 19166 ; missing values : 146804,1 : 765 ; 2 : 5479 ; missing values : 62746,N
nicotine_replace,Are you still using nicotine replacement therapy even though you are not using snuff or smoking any longer?;1 = Yes;2 = No,D,1 : 490 ; 2 : 18542 ; missing values : 149298,1 : 146 ; 2 : 5147 ; missing values : 63697,N
sm_yes_no,Smoking (concerns participants without smoke data from VIP questionnaire);0 = Non-smoker/no answer;1 = Smoker,D,0 : 2327 ; 1 : 129 ; missing values : 165874,0 : 683 ; 1 : 27 ; missing values : 68280,N
sn_yes_no,Snuff using (concerns participants without snuff data from VIP questionnaire);0 = Not using snuff/no answer;1 = Using snuff,D,0 : 8424 ; 1 : 263 ; missing values : 159643,0 : 2259 ; 1 : 82 ; missing values : 66649,N
DIETVARIABLES,,,,,
agr10,Age groups according to:;1= <35 years; 2=35-44 years; 3=45-54 years;;4= ≥ 55 years; 5= ≥ 65 years,D,1 : 8586 ; 2 : 49946 ; 3 : 51922 ; 4 : 46151 ; 5 : 125 ; missing values : 11600,1 : 4539 ; 2 : 20002 ; 3 : 29914 ; 4 : 14493 ; 5 : 42 ; missing values : 0,N
besok,Number of health examinations in NSDD,D,1 : 100836 ; 2 : 38509 ; 3 : 5126 ; 4 : 3 ; missing values : 23856,besok is now in the besok1,N
antfrag,Number of food items in the FFQ ,D,,,N
enkver,Indicates the specific FFQ version used ,D,,,Y
enkver2,Indicates main type of FFQ version used based on the number of food items: ;apri = 84 food items; manually entered FFQ;long = 84 food items; optically read FFQ;short = 64-66 food items,D,,,Y
exclude,Indicates level of insufficient diet data: ;0 = Complete set of portion size indications and ≤ 10% of food frequencies missing ;1 = > 10% of food frequencies missing;2 = portion size indications is not complete,D,0 : 149149 ; 1 : 3343 ; 2 : 4238 ; missing values : 11600,0 : 67013 ; 2 : 1977 ; missing values : 0,Y
BMR,?????,C,mean : 1641.04 ; min : 835.21 ; max : 3753.35 ; sd : 254.05; missing values : 11965,mean : 1623.76 , min : 984.95 , max : 3340.34 , sd : 245.76, missing values : 156,N
missport,Number of portion size indications missing,D,0 : 151438 ; 1 : 1904 ; 2 : 922 ; 3 : 2466 ; missing values : 11600,0 : 67013 ; 1 : 880 ; 2 : 345 ; 3 : 752 ; missing values : 0,N
missproc,Proportion of food frequencies missing (%),C,mean : 1.87 ; min : 0 ; max : 80.95 ; sd : 6.45; missing values : 11600,mean : 1.1 , min : 0 , max : 77.27 , sd : 1.71, missing values : 0,N
FIL;,Food Intake Level. Used to evaluate degree of underestimation of diet intake (Goldberg et al.; 1991). For more information see ’basic information’ on the NSDD website.     (a continuous numeric value),C,mean : 1.06 ; min : 0.01 ; max : 17.97 ; sd : 0.39; missing values : 17233,mean : 1.08 , min : 0.56 , max : 1.94 , sd : 0.29, missing values : 2131,Y
potport,Average portion size of potatoes/rice/pasta based on a photographic illustration with four alternative sizes,D,1 : 11281 ; 2 : 64609 ; 3 : 64450 ; 4 : 12829 ; missing values : 15161,1 : 3713 ; 2 : 27764 ; 3 : 30342 ; 4 : 5906 ; missing values : 1265,N
kottport,Average portion size of meat/fish based on a photographic illustration with four alternative sizes,D,1 : 7387 ; 2 : 68235 ; 3 : 66258 ; 4 : 10962 ; missing values : 15488,1 : 2936 ; 2 : 30850 ; 3 : 29321 ; 4 : 4528 ; missing values : 1355,N
gronport,Average portion size of vegetables based on a photographic illustration with four alternative sizes,D,1 : 22771 ; 2 : 43881 ; 3 : 50578 ; 4 : 35803 ; missing values : 15297,1 : 9113 ; 2 : 19020 ; 3 : 23023 ; 4 : 16628 ; missing values : 1206,N
year,Year of the health examination/FFQ (YYYY),C,mean : 2003.14 ; min : 1990 ; max : 2016 ; sd : 7.15; missing values : 11600,mean : 2001.73 , min : 1990 , max : 2016 , sd : 6.27, missing values : 0,N
da01,Bregott on bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 1.09 ; min : 0 ; max : 4 ; sd : 1.25; missing values : 131017,mean : 1.09 ; min : 0 ; max : 4 ; sd : 1.24; missing values : 51334,N
da02,Butter on bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.52; missing values : 131017,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.45; missing values : 51334,N
da03,Low fat margarine on bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.99 ; min : 0 ; max : 4 ; sd : 1.24; missing values : 131017,mean : 1.04 ; min : 0 ; max : 4 ; sd : 1.26; missing values : 51334,N
da04,Margarine on bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.42; missing values : 131017,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.42; missing values : 51334,N
da05,Butter for cooking;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.14 ; min : 0 ; max : 4 ; sd : 0.37; missing values : 131017,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.33; missing values : 51334,N
da06,Margarine for cooking;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.68 ; min : 0 ; max : 4 ; sd : 0.7; missing values : 131017,mean : 0.69 ; min : 0 ; max : 4 ; sd : 0.68; missing values : 51334,N
da07,Oil for cooking;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.17 ; min : 0 ; max : 4 ; sd : 0.36; missing values : 131017,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.32; missing values : 51334,N
da08,Salad dressing with oil;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.11 ; min : 0 ; max : 4 ; sd : 0.23; missing values : 131017,mean : 0.11 ; min : 0 ; max : 4 ; sd : 0.22; missing values : 51334,N
da09,Cream; crème fraiche; sour cream;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.14 ; min : 0 ; max : 4 ; sd : 0.21; missing values : 131017,mean : 0.14 ; min : 0 ; max : 4 ; sd : 0.17; missing values : 51334,N
da10,Whole grain crisp bread ;Food intake converted to frequency per day   (Before 1995);,C,mean : 1.56 ; min : 0 ; max : 4 ; sd : 1.04; missing values : 131017,mean : 1.59 ; min : 0 ; max : 4 ; sd : 1.02; missing values : 51334,Y
da11,Whole grain soft bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.51 ; min : 0 ; max : 4 ; sd : 0.68; missing values : 131017,mean : 0.48 ; min : 0 ; max : 4 ; sd : 0.63; missing values : 51334,Y
da12,White (soft) bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.54 ; min : 0 ; max : 4 ; sd : 0.65; missing values : 131017,mean : 0.57 ; min : 0 ; max : 4 ; sd : 0.63; missing values : 51334,N
da13,Thin crisp bread (Incorporated in ’white (soft) bread’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.37 ; min : 0 ; max : 4 ; sd : 0.55; missing values : 131017,mean : 0.34 ; min : 0 ; max : 4 ; sd : 0.48; missing values : 51334,N
da14,Coffee rolls/buns; rusk;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.44 ; min : 0 ; max : 4 ; sd : 0.52; missing values : 131017,mean : 0.42 ; min : 0 ; max : 4 ; sd : 0.48; missing values : 51334,N
da15,Cheese 28% (e.g. Grevè);Food intake converted to frequency per day   (Before 1995);,C,mean : 0.75 ; min : 0 ; max : 4 ; sd : 0.82; missing values : 131017,mean : 0.78 ; min : 0 ; max : 4 ; sd : 0.81; missing values : 51334,N
da16,Cheese 10-17% (e.g. Drabant);Food intake converted to frequency per day   (Before 1995);,C,mean : 0.41 ; min : 0 ; max : 4 ; sd : 0.66; missing values : 131017,mean : 0.41 ; min : 0 ; max : 4 ; sd : 0.65; missing values : 51334,N
da17,Soft cheese (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.22; missing values : 131017,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.2; missing values : 51334,N
da18,Soft whey cheese (messmör) (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.26; missing values : 131017,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.24; missing values : 51334,N
da19,Sausage on bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.14 ; min : 0 ; max : 4 ; sd : 0.26; missing values : 131017,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.22; missing values : 51334,N
da20,Meat on bread;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.31; missing values : 131017,mean : 0.21 ; min : 0 ; max : 4 ; sd : 0.29; missing values : 51334,N
da21,Liver pàté on bread (Incorporated in ’sausage on bread’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.25; missing values : 131017,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.23; missing values : 51334,N
da22,Oatflake porridge (Incorporated in ’whole wheat; rye; or barley porridge’ in the short FFQ);Food intake converted to frequency per day   (Before 1995);,C,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.28; missing values : 131017,mean : 0.14 ; min : 0 ; max : 4 ; sd : 0.24; missing values : 51334,Y
da23,Whole wheat; rye; or barley porridge;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.16; missing values : 131017,mean : 0.04 ; min : 0 ; max : 2.5 ; sd : 0.12; missing values : 51334,Y
da24,Rosehip; sweet syrup soup;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.14; missing values : 131017,mean : 0.07 ; min : 0 ; max : 2.5 ; sd : 0.11; missing values : 51334,N
da25,Sour milk; yoghurt; 3% fat;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.39 ; min : 0 ; max : 4 ; sd : 0.43; missing values : 131017,mean : 0.39 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 51334,N
da26,Sour milk; yoghurt; low fat;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.18 ; min : 0 ; max : 4 ; sd : 0.35; missing values : 131017,mean : 0.17 ; min : 0 ; max : 4 ; sd : 0.33; missing values : 51334,N
da27,Fiber cereals (e.g. muesli);Food intake converted to frequency per day   (Before 1995);,C,mean : 0.26 ; min : 0 ; max : 4 ; sd : 0.37; missing values : 131017,mean : 0.26 ; min : 0 ; max : 4 ; sd : 0.36; missing values : 51334,Y
da28,Corn flakes;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.31; missing values : 131017,mean : 0.2 ; min : 0 ; max : 2.5 ; sd : 0.31; missing values : 51334,N
da29,Berries; fresh or frozen;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.24; missing values : 131017,mean : 0.13 ; min : 0 ; max : 4 ; sd : 0.2; missing values : 51334,Y
da30,Apple; pear; peach;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.5 ; min : 0 ; max : 4 ; sd : 0.55; missing values : 131017,mean : 0.5 ; min : 0 ; max : 4 ; sd : 0.54; missing values : 51334,Y
da31,Orange; mandarin; grapefruit (Incorportade in ’apple; pear; peach’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.44 ; min : 0 ; max : 4 ; sd : 0.5; missing values : 131017,mean : 0.43 ; min : 0 ; max : 4 ; sd : 0.48; missing values : 51334,Y
da32,Banana;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.43 ; min : 0 ; max : 4 ; sd : 0.46; missing values : 131017,mean : 0.43 ; min : 0 ; max : 4 ; sd : 0.44; missing values : 51334,Y
da33,White cabbage (Incorporated in ’lettuce; lettuce cabbage’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.26; missing values : 131017,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.25; missing values : 51334,Y
da34,Root vegetables; carrot;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.37 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 131017,mean : 0.36 ; min : 0 ; max : 4 ; sd : 0.39; missing values : 51334,Y
da35,Tomato; cucumber;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.47 ; min : 0 ; max : 4 ; sd : 0.44; missing values : 131017,mean : 0.48 ; min : 0 ; max : 4 ; sd : 0.43; missing values : 51334,Y
da36,Lettuce; lettuce cabbage;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.4 ; min : 0 ; max : 4 ; sd : 0.4; missing values : 131017,mean : 0.41 ; min : 0 ; max : 4 ; sd : 0.39; missing values : 51334,Y
da37,Spinach; borecole (Incorporated in ’lettuce; lettuce cabbage’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.04 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 131017,mean : 0.04 ; min : 0 ; max : 2.5 ; sd : 0.08; missing values : 51334,Y
da38,Mixed frozen vegetables (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.18; missing values : 131017,mean : 0.11 ; min : 0 ; max : 4 ; sd : 0.16; missing values : 51334,Y
da39,Boiled or baked potato;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.67 ; min : 0 ; max : 4 ; sd : 0.48; missing values : 131017,mean : 0.66 ; min : 0 ; max : 4 ; sd : 0.46; missing values : 51334,N
da40,Fried potato;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 131017,mean : 0.08 ; min : 0 ; max : 2.5 ; sd : 0.11; missing values : 51334,Y
da41,Pommes frites (Incorporated in ’fried potato’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.05 ; min : 0 ; max : 4 ; sd : 0.07; missing values : 131017,mean : 0.05 ; min : 0 ; max : 1 ; sd : 0.06; missing values : 51334,Y
da42,Mashed potato (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.09; missing values : 131017,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.08; missing values : 51334,N
da43,Potato salad (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.02 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 131017,mean : 0.02 ; min : 0 ; max : 1 ; sd : 0.04; missing values : 51334,N
da44,Rice;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.18; missing values : 131017,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.15; missing values : 51334,N
da45,Pasta;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.16; missing values : 131017,mean : 0.2 ; min : 0 ; max : 4 ; sd : 0.15; missing values : 51334,N
da46,Brown beans; pea soup;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.04 ; min : 0 ; max : 4 ; sd : 0.07; missing values : 131017,mean : 0.03 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
da47,Blöta (broth + bread)  (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995);,C,mean : 0.01 ; min : 0 ; max : 4 ; sd : 0.04; missing values : 131017,mean : 0.01 ; min : 0 ; max : 1 ; sd : 0.03; missing values : 51334,N
da48,Pancake; waffle;Food intake converted to frequency per day   (Before 1995);,C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.07; missing values : 131017,mean : 0.09 ; min : 0 ; max : 1 ; sd : 0.06; missing values : 51334,N
da49,Swedish (potato) dumpling (Incorporated in ’pancake; waffle’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 131017,mean : 0.05 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
da50,Pizza;Food intake converted to frequency per day   (Before 1995),C,mean : 0.05 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 131017,mean : 0.06 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
da51,Minced meat dishes;Food intake converted to frequency per day   (Before 1995),C,mean : 0.18 ; min : 0 ; max : 4 ; sd : 0.15; missing values : 131017,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.13; missing values : 51334,Y
